BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Affenpinscher,,Toy,Companion,4,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000,37,1,,,,147
Afghan_hound,,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",2250,79,1,,,,93
African_hunting_dog,,,,23,Wild,,,,,,,
Airedale_terrier,Airedale,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700,29,4,,,,55
Akbash,,Working,Guardian,53,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",600,,5,,,,
Akita,,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1000,54,5,,1,,47
Alaskan_malamute,Malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350,50,5,,,,59
American_bulldog,,Working,Guardian,38,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social",800,,6,,1,,
American_eskimo_dog,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
American_hairless_terrier,,Terrier,Terrier,5,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",400,,3,,,,126
American_staffordshire_terrier,,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900,34,3,,1,,83
American_water_spaniel,,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900,44,4,,,,167
Anatolian_shepherd_dog,,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",800,,6,,,,86
Appenzell_mountain_dog,Appenzeller,Working,Guardian,27,"Energetic, Fearless, Lively, Reliable, Self-assured, Social",700,,5,,,,
Australian_cattle_dog,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,10,6,,,,56
Australian_kelpie,Kelpie,Working,Herding,16,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",600,,5,,,,
Australian_shepherd,,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700,42,5,,,,17
Australian_terrier,,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250,34,3,,,,137
Basenji,,Hound,Sight,11,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100,78,5,,,,84
Basset_hound,Basset,Hound,Scenthound,26,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",400,71,1,,,,39
Beagle,,Hound,Scenthound,11,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650,72,1,,,,6
Bearded_collie,,Herding,Herding,23,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300,34,4,,,,125
Beauceron,,Herding,Herding,50,"Courageous, Obedient, Loyal, Protective, Loving",1350,,5,,,,141
Bedlington_terrier,,Terrier,Terrier,9,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1900,40,3,,,,151
