,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,PopularityUS2017
0,Affenpinscher,Toy,Companion,4,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000.0,37.0,1.0,147.0
1,Afghan_hound,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",2250.0,79.0,1.0,93.0
2,Airedale_terrier,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700.0,29.0,4.0,55.0
3,Akita,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1000.0,54.0,5.0,47.0
4,Alaskan_malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350.0,50.0,5.0,59.0
5,American_eskimo_dog,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700.0,,4.0,118.0
6,American_staffordshire_terrier,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900.0,34.0,3.0,83.0
7,American_water_spaniel,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900.0,44.0,4.0,167.0
8,Anatolian_shepherd_dog,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",800.0,,6.0,86.0
9,Australian_cattle_dog,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600.0,10.0,6.0,56.0
10,Australian_shepherd,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700.0,42.0,5.0,17.0
11,Australian_terrier,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250.0,34.0,3.0,137.0
12,Basenji,Hound,Sight,11,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100.0,78.0,5.0,84.0
13,Basset_hound,Hound,Scenthound,26,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",400.0,71.0,1.0,39.0
14,Beagle,Hound,Scenthound,11,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650.0,72.0,1.0,6.0
15,Bearded_collie,Herding,Herding,23,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300.0,34.0,4.0,125.0
16,Beauceron,Herding,Herding,50,"Courageous, Obedient, Loyal, Protective, Loving",1350.0,,5.0,141.0
17,Bedlington_terrier,Terrier,Terrier,9,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1900.0,40.0,3.0,151.0
18,Belgian_sheepdog,Herding,Herding,32,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1300.0,15.0,6.0,120.0
19,Belgian_malinois,Herding,Herding,27,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful",700.0,,6.0,44.0
20,Belgian_tervuren,Herding,Herding,34,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",1350.0,14.0,6.0,103.0
21,Bernese_mountain_dog,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",900.0,22.0,5.0,25.0
22,Bichon_frise,Non Sporting,Companion,4,"Affectionate, Cheerful, Feisty, Gentle, Playful, Intelligent, Sensitive",850.0,45.0,3.0,46.0
23,Black_and_tan_coonhound,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350.0,44.0,3.0,130.0
24,Black_russian_terrier,Working,Guardian,51,"Brave, Confident, Energetic, Hardy, Lively, Stable",2150.0,,6.0,116.0
25,Bloodhound,Hound,Scenthound,46,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",1000.0,74.0,1.0,50.0
26,Bluetick_coonhound,Hound,Scenthound,28,"Friendly, Active, Gentle",550.0,,1.0,132.0
27,Border_collie,Herding,Herding,17,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",700.0,1.0,6.0,38.0
28,Border_terrier,Terrier,Terrier,7,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",1300.0,30.0,4.0,92.0
29,Borzoi,Hound,Sight,41,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",1100.0,75.0,1.0,102.0
30,Boston_terrier,Non Sporting,Companion,9,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",750.0,54.0,3.0,21.0
31,Bouvier_des_flanders,Herding,Herding,42,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",1750.0,29.0,5.0,85.0
32,Boxer,Working,Guardian,30,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",900.0,49.0,5.0,11.0
33,Boykin_spaniel,Sporting,Gun,15,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",900.0,,3.0,98.0
34,Briard,Herding,Gun,35,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",1100.0,30.0,6.0,127.0
35,Brittany,Sporting,Gun,17,"Alert, Independent, Intelligent, Responsive, Social",750.0,19.0,3.0,26.0
36,Brussels_griffon,Toy,Companion,4,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",900.0,,3.0,94.0
37,Bull_terrier,Terrier,Terrier,28,"Active, Keen, Protective, Sweet-tempered, Trainable",1350.0,66.0,6.0,60.0
38,Bullmastiff,Working,Guardian,55,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",1350.0,69.0,6.0,51.0
39,Cairn_terrier,Terrier,Terrier,7,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",850.0,35.0,4.0,69.0
40,Canaan_dog,Herding,Sight,21,"Alert, Cautious, Devoted, Quick, Vigilant",1000.0,,3.0,175.0
41,Cane_corso,Working,Guardian,47,"Cheerful, Courageous, Loyal, Quiet, Social",1750.0,,6.0,37.0
42,Cavalier_king_charles_spaniel,Toy,Companion,7,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",1350.0,44.0,2.0,19.0
43,Chesapeake_bay_retriever,Sporting,Gun,33,"Happy, Affectionate, Dominant, Intelligent, Protective, Quiet",800.0,27.0,3.0,43.0
44,Chihuahua,Toy,Companion,2,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",700.0,67.0,2.0,32.0
45,Chinese_crested,Toy,Companion,4,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",900.0,61.0,2.0,79.0
46,Chow_chow,Non Sporting,Northern,26,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",700.0,76.0,3.0,76.0
47,Clumber_spaniel,Sporting,Gun,32,"Gentle, Loyal, Affectionate, Dignified, Aloof",1000.0,37.0,3.0,140.0
48,Cocker_spaniel,Sporting,Gun,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700.0,20.0,3.0,29.0
49,Collie,Herding,Herding,31,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",500.0,16.0,5.0,40.0
50,Curly-coated_retriever,Sporting,Gun,34,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",700.0,41.0,3.0,171.0
51,Dachshund,Hound,Scenthound,7,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",600.0,49.0,3.0,13.0
52,Dalmatian,Non Sporting,Companion,25,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",800.0,39.0,3.0,63.0
53,Dandi_dinmont_terrier,Terrier,Terrier,10,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",1500.0,62.0,3.0,182.0
54,Doberman_pinscher,Working,Guardian,43,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",900.0,5.0,6.0,16.0
55,Dogue_de_bordeaux,Working,Guardian,60,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",1150.0,,6.0,67.0
56,Bulldog,Non Sporting,Companion,25,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",1600.0,77.0,3.0,5.0
