BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Affenpinscher,,Toy,Companion,4,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000,37,1,,,,147
Afghan_hound,,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",2250,79,1,,,,93
Airedale_terrier,Airedale,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700,29,4,,,,55
Akita,,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1000,54,5,,1,,47
Alaskan_malamute,Malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350,50,5,,,,59
American_eskimo_dog,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
American_staffordshire_terrier,,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900,34,3,,1,,83
American_water_spaniel,,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900,44,4,,,,167
Anatolian_shepherd_dog,,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",800,,6,,,,86
Australian_cattle_dog,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,10,6,,,,56
Australian_shepherd,,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700,42,5,,,,17
Australian_terrier,,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250,34,3,,,,137
Basenji,,Hound,Sight,11,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100,78,5,,,,84
Basset_hound,Basset,Hound,Scenthound,26,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",400,71,1,,,,39
Beagle,,Hound,Scenthound,11,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650,72,1,,,,6
Bearded_collie,,Herding,Herding,23,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300,34,4,,,,125
Beauceron,,Herding,Herding,50,"Courageous, Obedient, Loyal, Protective, Loving",1350,,5,,,,141
Bedlington_terrier,,Terrier,Terrier,9,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1900,40,3,,,,151
Belgian_sheepdog,Groenendael,Herding,Herding,32,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1300,15,6,,,,120
Belgian_malinois,Malinois,Herding,Herding,27,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful",700,,6,,,,44
Belgian_tervuren,,Herding,Herding,34,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",1350,14,6,,,,103
Bernese_mountain_dog,,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",900,22,5,,,,25
Bichon_frise,,Non Sporting,Companion,4,"Affectionate, Cheerful, Feisty, Gentle, Playful, Intelligent, Sensitive",850,45,3,,,,46
Black_and_tan_coonhound,,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350,44,3,,,,130
