Breed Name,Precision,Recall,Accuracy,Support
Affenpinscher,1,0.875,0.933333333,8
Afghan_hound,0.875,0.875,0.875,8
Airedale_terrier,0.857142857,1,0.923076923,6
Akita,0.888888889,1,0.941176471,8
Alaskan_malamute,0.909090909,1,0.952380952,10
American_eskimo_dog,1,0.875,0.933333333,8
American_foxhound,1,0.857142857,0.923076923,7
American_staffordshire_terrier,1,1,1,8
American_water_spaniel,1,0.25,0.4,4
Anatolian_shepherd_dog,0.75,1,0.857142857,6
Australian_cattle_dog,1,0.777777778,0.875,9
Australian_shepherd,1,0.777777778,0.875,9
Australian_terrier,1,0.666666667,0.8,6
Basenji,0.9,1,0.947368421,9
Basset_hound,0.909090909,1,0.952380952,10
Beagle,0.875,0.875,0.875,8
Bearded_collie,0.857142857,0.75,0.8,8
Beauceron,1,1,1,7
Bedlington_terrier,1,1,1,6
Belgian_malinois,0.875,0.875,0.875,8
Belgian_sheepdog,0.6,0.75,0.666666667,8
Belgian_tervuren,1,0.5,0.666666667,6
Bernese_mountain_dog,1,1,1,8
Bichon_frise,0.888888889,1,0.941176471,8
Black_and_tan_coonhound,1,0.75,0.857142857,4
Black_russian_terrier,0.75,0.6,0.666666667,5
Bloodhound,0.888888889,1,0.941176471,8
Bluetick_coonhound,1,0.75,0.857142857,4
Border_collie,0.909090909,1,0.952380952,10
Border_terrier,1,1,1,7
Borzoi,1,1,1,7
Boston_terrier,1,1,1,8
Bouvier_des_flanders,0.8,0.8,0.8,5
Boxer,1,0.875,0.933333333,8
Boykin_spaniel,0.428571429,1,0.6,6
Briard,1,0.875,0.933333333,8
Brittany,1,0.666666667,0.8,6
Brussels_griffon,1,1,1,7
Bull_terrier,1,1,1,9
Bulldog,0.875,1,0.933333333,7
Bullmastiff,0.642857143,1,0.782608696,9
Cairn_terrier,1,0.875,0.933333333,8
Canaan_dog,0.666666667,1,0.8,6
Cane_corso,1,0.5,0.666666667,8
Cardigan_welsh_corgi,0.833333333,0.714285714,0.769230769,7
Cavalier_king_charles_spaniel,0.666666667,0.888888889,0.761904762,9
Chesapeake_bay_retriever,1,1,1,7
Chihuahua,0.833333333,0.714285714,0.769230769,7
Chinese_crested,1,0.833333333,0.909090909,6
Chinese_shar-pei,1,0.833333333,0.909090909,6
Chow_chow,0.875,0.875,0.875,8
Clumber_spaniel,1,1,1,6
Cocker_spaniel,0.714285714,0.833333333,0.769230769,6
Collie,1,0.857142857,0.923076923,7
Curly-coated_retriever,1,0.857142857,0.923076923,7
Dachshund,1,0.777777778,0.875,9
Dalmatian,1,1,1,9
Dandi_dinmont_terrier,1,1,1,7
Doberman_pinscher,0.666666667,1,0.8,6
Dogue_de_bordeaux,0.875,0.875,0.875,8
English_cocker_spaniel,1,0.5,0.666666667,8
English_setter,1,1,1,6
English_springer_spaniel,0.625,0.714285714,0.666666667,7
English_toy_spaniel,1,0.6,0.75,5
Entlebucher_mountain_dog,1,0.6,0.75,5
Field_spaniel,1,1,1,4
Finnish_spitz,1,0.25,0.4,4
Flat-coated_retriever,0.875,0.875,0.875,8
French_bulldog,1,1,1,7
German_pinscher,0.5,0.333333333,0.4,6
German_shepherd_dog,1,0.875,0.933333333,8
German_shorthaired_pointer,0.625,0.833333333,0.714285714,6
German_wirehaired_pointer,0.666666667,0.4,0.5,5
Giant_schnauzer,0.6,0.6,0.6,5
Glen_of_imaal_terrier,0.75,0.6,0.666666667,5
Golden_retriever,0.666666667,0.75,0.705882353,8
Gordon_setter,0.8,0.8,0.8,5
Great_dane,1,0.4,0.571428571,5
Great_pyrenees,0.666666667,0.75,0.705882353,8
Greater_swiss_mountain_dog,0.714285714,1,0.833333333,5
Greyhound,0.636363636,1,0.777777778,7
Havanese,0.555555556,0.625,0.588235294,8
Ibizan_hound,1,1,1,6
Icelandic_sheepdog,0.5,0.666666667,0.571428571,6
Irish_red_and_white_setter,0.5,0.75,0.6,4
Irish_setter,0.875,1,0.933333333,7
Irish_terrier,1,1,1,8
Irish_water_spaniel,1,0.833333333,0.909090909,6
Irish_wolfhound,0.636363636,1,0.777777778,7
Italian_greyhound,0.857142857,0.75,0.8,8
Japanese_chin,1,1,1,7
Keeshond,1,1,1,5
